StudentID,Age,Gender,EducationLevel,City,AIToolUsed,DailyUsageHours,Purpose,ImpactonGrades,SatisfactionLevel
106,15,Male,School,Jaipur,Copilot,4.5,Research,No Change,Low
107,23,Female,University,Ludhiana,Notion AI,5.6,Homework,Slight Decline,Medium
108,25,Male,School,Mumbai,Gemini,3.8,Coding,Improved,High
109,22,Female,University,Bhubaneswar,ChatGPT,5.6,Research,Slight Decline,Low
110,19,Female,University,Coimbatore,Perplexity,2.8,Writing,No Change,Low
111,15,Male,University,Mysuru,Claude,2.4,Writing,Slight Decline,Medium
112,23,Female,College,Jaipur,Grammarly,2.6,Writing,Improved,Low
113,20,Male,College,Jaipur,Grammarly,1.5,Coding,Improved,Medium
114,16,Female,University,Ahmedabad,ChatGPT,5.5,Learning,No Change,Low
115,16,Female,School,Pune,ChatGPT,2.5,Writing,No Change,High
116,25,Female,University,Surat,Grammarly,3.8,Writing,No Change,Low
117,16,Female,University,Ahmedabad,Grammarly,4.0,Research,No Change,Medium
118,16,Female,University,Mumbai,ChatGPT,3.6,Writing,No Change,Medium
119,23,Female,School,Bhubaneswar,Gemini,0.5,Research,No Change,High
120,19,Male,College,Kolkata,Grammarly,6.4,Research,Improved,High
121,15,Female,School,Pune,Copilot,5.9,Learning,Slight Decline,Medium
122,23,Male,College,Ludhiana,Gemini,1.7,Learning,No Change,Medium
123,20,Female,University,Delhi,Grammarly,2.3,Research,No Change,High
124,19,Male,University,Ahmedabad,Notion AI,3.6,Coding,Improved,High
125,20,Female,University,Patna,Claude,5.9,Homework,Improved,Low
126,15,Male,University,Surat,Notion AI,6.4,Homework,No Change,High
127,24,Female,University,Nagpur,Notion AI,2.0,Research,Improved,High
128,18,Female,University,Hyderabad,Claude,3.9,Coding,Slight Decline,Low
129,20,Female,University,Bhopal,Gemini,5.3,Learning,No Change,High
130,24,Male,School,Gurugram,Copilot,2.9,Coding,Improved,Low
131,22,Female,University,Nagpur,Claude,4.9,Learning,No Change,Low
132,24,Male,College,Ludhiana,Gemini,1.5,Homework,No Change,Low
133,17,Male,College,Kolkata,Perplexity,4.1,Learning,No Change,Low
134,16,Male,School,Kochi,Gemini,5.7,Writing,Improved,Medium
135,21,Male,School,Kanpur,Claude,6.4,Writing,Slight Decline,High
136,18,Male,College,Ranchi,Gemini,1.0,Learning,Slight Decline,Medium
137,17,Female,School,Patna,Copilot,3.1,Coding,Improved,High
138,22,Female,College,Surat,Perplexity,1.7,Homework,Improved,High
139,17,Male,School,Coimbatore,Perplexity,3.2,Coding,Slight Decline,Low
140,25,Male,School,Lucknow,Gemini,3.8,Learning,No Change,High
141,16,Male,College,Bhopal,Gemini,1.1,Writing,No Change,High
142,25,Female,School,Kanpur,Perplexity,2.3,Learning,Slight Decline,Medium
143,16,Female,College,Kanpur,Copilot,6.1,Research,Improved,Low
144,24,Male,School,Visakhapatnam,Perplexity,3.9,Writing,No Change,High
145,19,Female,School,Mumbai,Grammarly,3.2,Research,Slight Decline,Low
146,21,Female,School,Ludhiana,Grammarly,5.0,Writing,Improved,Medium
147,20,Male,College,Gurugram,Perplexity,5.0,Coding,No Change,Low
148,22,Female,College,Kochi,Notion AI,0.8,Writing,Improved,Medium
149,19,Female,University,Lucknow,ChatGPT,4.8,Writing,Improved,High
150,20,Female,College,Delhi,Grammarly,5.5,Learning,Improved,Low
151,17,Female,School,Chandigarh,Grammarly,1.5,Learning,Slight Decline,High
152,18,Female,College,Ahmedabad,Gemini,5.2,Research,Slight Decline,Medium
153,21,Female,University,Bhopal,ChatGPT,2.2,Learning,No Change,Low
154,25,Male,School,Kolkata,Copilot,2.3,Coding,Slight Decline,High
155,20,Male,University,Delhi,Copilot,4.5,Coding,Slight Decline,Low
156,18,Male,College,Mysuru,Notion AI,1.2,Research,Improved,Medium
157,17,Male,School,Lucknow,Gemini,4.5,Learning,Slight Decline,Medium
158,21,Female,School,Ahmedabad,Claude,5.8,Coding,No Change,High
159,25,Female,School,Hyderabad,Gemini,4.7,Coding,Slight Decline,Medium
160,16,Female,School,Surat,Copilot,3.1,Coding,Slight Decline,High
161,22,Male,School,Nagpur,Gemini,3.1,Coding,No Change,Low
162,16,Female,School,Guwahati,Claude,5.1,Homework,No Change,Low
163,18,Male,School,Jaipur,ChatGPT,3.9,Writing,Slight Decline,High
164,23,Female,University,Bhopal,Grammarly,1.0,Research,Slight Decline,Low
165,20,Female,University,Bhopal,Gemini,4.0,Homework,Slight Decline,Low
166,18,Male,University,Indore,Claude,5.4,Learning,Slight Decline,Medium
167,19,Female,College,Mysuru,Claude,2.5,Coding,No Change,Low
168,18,Male,School,Kochi,Perplexity,6.1,Learning,No Change,Low
169,24,Female,School,Jaipur,Notion AI,5.0,Writing,No Change,High
170,24,Male,University,Kolkata,Grammarly,3.9,Research,Slight Decline,Low
171,17,Male,College,Bhopal,Grammarly,5.0,Learning,No Change,High
172,25,Female,School,Patna,Copilot,1.0,Research,No Change,High
173,25,Female,University,Noida,Copilot,5.7,Homework,Slight Decline,Medium
174,17,Female,College,Lucknow,ChatGPT,5.4,Learning,Improved,High
175,21,Male,University,Kochi,Grammarly,6.0,Coding,Slight Decline,Low
176,18,Female,School,Pune,Perplexity,1.3,Learning,Improved,High
177,17,Female,School,Surat,Gemini,1.0,Homework,Slight Decline,Medium
178,21,Male,School,Hyderabad,Perplexity,1.3,Homework,Slight Decline,High
179,18,Male,School,Vijayawada,Notion AI,2.9,Coding,No Change,Medium
180,18,Female,College,Kanpur,ChatGPT,3.0,Homework,No Change,High
181,21,Male,University,Surat,Gemini,3.9,Research,Improved,Medium
182,23,Male,School,Ludhiana,Grammarly,1.2,Research,No Change,High
183,16,Male,College,Visakhapatnam,Claude,1.7,Writing,No Change,Low
184,17,Male,School,Thiruvananthapuram,Perplexity,5.4,Learning,No Change,Low
185,18,Male,College,Visakhapatnam,ChatGPT,3.3,Writing,Slight Decline,Low
186,22,Female,University,Mysuru,Perplexity,5.3,Learning,Slight Decline,Medium
187,22,Male,School,Surat,ChatGPT,0.5,Coding,Improved,High
188,20,Male,School,Delhi,Claude,3.8,Homework,Improved,High
189,17,Male,School,Nagpur,Gemini,6.1,Writing,No Change,High
190,19,Male,School,Nagpur,ChatGPT,4.0,Research,No Change,Medium
191,16,Male,University,Coimbatore,ChatGPT,1.7,Writing,Slight Decline,High
192,19,Male,University,Jaipur,Claude,4.8,Homework,No Change,Low
193,20,Female,College,Guwahati,Claude,2.8,Learning,Slight Decline,Medium
194,22,Male,School,Gurugram,Notion AI,4.5,Writing,Improved,Low
195,22,Female,School,Lucknow,Notion AI,0.7,Homework,Slight Decline,High
196,15,Male,College,Chandigarh,Gemini,4.3,Learning,Slight Decline,High
197,17,Female,College,Hyderabad,Notion AI,0.7,Coding,Improved,Low
198,19,Male,College,Surat,Perplexity,5.0,Coding,No Change,Low
199,17,Female,University,Mysuru,Notion AI,3.3,Homework,Slight Decline,High
200,24,Female,University,Chandigarh,Claude,1.2,Research,No Change,High
201,25,Female,School,Pune,Notion AI,3.8,Learning,Slight Decline,Medium
202,20,Male,School,Noida,Notion AI,0.9,Learning,No Change,Medium
203,18,Female,College,Thiruvananthapuram,Claude,4.4,Homework,Slight Decline,Medium
204,25,Male,University,Lucknow,ChatGPT,6.5,Coding,Slight Decline,Low
205,17,Female,College,Mysuru,Perplexity,5.1,Coding,Slight Decline,Low
206,19,Male,School,Hyderabad,ChatGPT,3.9,Homework,Slight Decline,Medium
207,20,Male,College,Indore,Grammarly,1.1,Research,Improved,Low
208,24,Male,University,Ahmedabad,Copilot,4.7,Coding,Slight Decline,Low
209,19,Male,College,Delhi,Perplexity,4.5,Homework,Improved,Medium
210,16,Male,School,Guwahati,Perplexity,0.8,Learning,Slight Decline,High
211,19,Male,College,Mumbai,Copilot,5.3,Writing,No Change,Medium
212,18,Female,University,Bhubaneswar,Grammarly,3.6,Learning,Improved,Medium
213,23,Male,University,Nagpur,Grammarly,3.1,Coding,Improved,Medium
214,19,Female,School,Chandigarh,Gemini,5.2,Coding,Improved,Low
215,15,Female,College,Bhubaneswar,Gemini,3.0,Coding,Slight Decline,High
216,24,Male,School,Ludhiana,Grammarly,3.4,Learning,Improved,High
217,17,Male,School,Mumbai,Notion AI,1.6,Homework,Slight Decline,High
218,23,Male,School,Ranchi,ChatGPT,2.4,Learning,No Change,Medium
219,25,Female,School,Jaipur,Grammarly,5.6,Coding,Improved,Low
220,24,Female,School,Ranchi,Perplexity,1.6,Coding,Slight Decline,High
221,20,Male,University,Mumbai,Gemini,3.0,Learning,No Change,Low
222,22,Male,College,Guwahati,Gemini,6.4,Research,Slight Decline,Medium
223,23,Female,University,Coimbatore,Notion AI,1.9,Learning,Improved,Low
224,24,Female,University,Thiruvananthapuram,ChatGPT,6.0,Learning,No Change,High
225,15,Male,College,Noida,Perplexity,6.0,Coding,Improved,High
226,24,Female,College,Nagpur,Gemini,1.0,Coding,Improved,High
227,23,Female,College,Bengaluru,Perplexity,3.3,Learning,Improved,Low
228,18,Male,School,Chennai,Grammarly,3.5,Research,Slight Decline,High
229,25,Male,University,Bengaluru,ChatGPT,2.4,Research,Slight Decline,Medium
230,21,Male,School,Thiruvananthapuram,Perplexity,0.8,Coding,No Change,High
231,24,Female,University,Coimbatore,Grammarly,2.0,Coding,No Change,Low
232,17,Male,College,Indore,ChatGPT,1.1,Research,Improved,High
233,15,Male,College,Mumbai,Claude,1.9,Writing,Improved,Medium
234,25,Female,University,Ludhiana,Copilot,5.3,Homework,Improved,Medium
235,23,Male,University,Noida,Notion AI,5.9,Homework,Improved,Medium
236,19,Female,College,Visakhapatnam,Perplexity,0.8,Writing,Slight Decline,Low
237,20,Male,College,Hyderabad,Claude,2.3,Learning,Improved,High
238,23,Female,University,Vijayawada,Gemini,6.4,Research,No Change,Medium
239,23,Female,College,Kolkata,Gemini,3.7,Homework,Improved,Low
240,24,Female,College,Nagpur,ChatGPT,4.3,Learning,No Change,Medium
241,24,Female,School,Thiruvananthapuram,Copilot,0.5,Homework,Slight Decline,Low
242,18,Female,School,Ranchi,Perplexity,3.4,Research,Slight Decline,Medium
243,20,Female,University,Kochi,Notion AI,6.4,Homework,Slight Decline,Low
244,16,Male,College,Chennai,Gemini,2.8,Homework,Slight Decline,Medium
245,25,Male,College,Coimbatore,Perplexity,1.1,Homework,Slight Decline,High
246,18,Female,University,Noida,Notion AI,3.3,Homework,No Change,High
247,21,Female,College,Noida,Notion AI,6.3,Writing,Slight Decline,High
248,25,Male,College,Kanpur,Gemini,2.6,Homework,No Change,Medium
249,16,Female,College,Bengaluru,ChatGPT,5.3,Learning,No Change,Medium
250,17,Female,University,Hyderabad,Perplexity,5.3,Learning,No Change,Low
251,21,Male,University,Bhopal,Grammarly,1.7,Writing,Slight Decline,Medium
252,17,Male,School,Pune,Claude,3.2,Learning,Improved,Low
253,25,Male,University,Mumbai,Notion AI,4.8,Writing,Improved,Medium
254,15,Male,College,Gurugram,Grammarly,3.0,Research,Improved,Medium
255,15,Male,College,Nagpur,Notion AI,1.6,Homework,Improved,Medium
256,24,Male,University,Kanpur,ChatGPT,6.3,Writing,Slight Decline,High
257,24,Male,College,Mysuru,Perplexity,4.4,Coding,Slight Decline,Medium
258,22,Male,School,Nagpur,ChatGPT,5.7,Learning,Improved,Medium
259,18,Male,University,Ludhiana,Notion AI,0.7,Writing,No Change,High
260,15,Female,College,Ludhiana,Claude,2.1,Coding,No Change,Medium
261,16,Male,College,Noida,Perplexity,3.5,Learning,Improved,High
262,21,Female,University,Pune,Grammarly,0.9,Research,No Change,Low
263,20,Male,University,Vijayawada,Notion AI,6.5,Coding,Slight Decline,Low
264,22,Female,University,Kochi,Copilot,1.9,Coding,Slight Decline,Low
265,23,Female,School,Mumbai,Grammarly,2.7,Coding,Slight Decline,High
266,21,Female,University,Coimbatore,Copilot,1.8,Research,Slight Decline,Medium
267,18,Female,College,Indore,Grammarly,1.1,Writing,No Change,Medium
268,18,Male,School,Pune,Perplexity,1.9,Homework,No Change,High
269,21,Male,College,Ludhiana,Gemini,2.3,Coding,No Change,Low
270,15,Female,School,Coimbatore,ChatGPT,4.3,Coding,Slight Decline,Low
271,20,Male,College,Bhopal,Gemini,2.2,Writing,Slight Decline,Low
272,24,Male,College,Ranchi,Copilot,2.7,Homework,Improved,High
273,24,Female,College,Coimbatore,Gemini,0.5,Homework,Improved,Medium
274,19,Male,College,Chennai,Claude,2.7,Writing,Improved,Low
275,18,Female,School,Bhubaneswar,Notion AI,3.7,Learning,Improved,Medium
276,25,Male,College,Surat,ChatGPT,1.5,Research,Improved,Low
277,25,Male,School,Thiruvananthapuram,Perplexity,4.1,Homework,No Change,High
278,20,Female,University,Thiruvananthapuram,Grammarly,2.3,Homework,No Change,Medium
279,23,Male,School,Gurugram,Grammarly,4.3,Research,Improved,Low
280,25,Female,College,Mumbai,Copilot,0.7,Research,No Change,Low
281,17,Male,University,Thiruvananthapuram,Copilot,5.8,Learning,No Change,Medium
282,23,Female,University,Kanpur,Notion AI,0.6,Homework,No Change,Medium
283,20,Male,School,Chandigarh,Notion AI,1.3,Research,Slight Decline,Low
284,17,Female,School,Mysuru,Perplexity,5.2,Writing,Improved,Low
285,18,Male,University,Delhi,Gemini,0.8,Writing,Slight Decline,Low
286,23,Male,School,Kolkata,Claude,4.8,Learning,Improved,High
287,16,Female,University,Patna,Gemini,6.3,Homework,Improved,Medium
288,17,Male,School,Noida,Perplexity,5.7,Research,Improved,High
289,16,Female,College,Kochi,Copilot,4.8,Homework,Improved,Low
290,15,Female,University,Kanpur,Perplexity,6.3,Coding,No Change,Low
291,22,Female,University,Ahmedabad,Perplexity,3.1,Writing,No Change,Medium
292,18,Female,College,Kanpur,Copilot,5.7,Learning,Improved,Medium
293,15,Male,College,Visakhapatnam,Grammarly,2.6,Coding,Slight Decline,High
294,17,Female,University,Ludhiana,Grammarly,6.1,Homework,Slight Decline,Medium
295,24,Female,University,Kochi,Notion AI,1.4,Research,No Change,High
296,24,Female,University,Ranchi,Copilot,6.1,Homework,No Change,High
297,19,Female,School,Ludhiana,Claude,5.5,Learning,Slight Decline,High
298,15,Male,University,Bhubaneswar,Copilot,5.6,Writing,Slight Decline,Medium
299,19,Male,College,Thiruvananthapuram,Notion AI,1.2,Homework,Improved,Medium
300,24,Male,University,Chennai,Notion AI,4.1,Research,Improved,Medium
301,19,Male,University,Ludhiana,Copilot,0.6,Learning,No Change,High
302,15,Male,University,Ranchi,Claude,4.8,Coding,Slight Decline,Low
303,23,Female,School,Bhopal,Gemini,0.5,Homework,Improved,Medium
304,22,Male,University,Kochi,Notion AI,1.0,Writing,Improved,Medium
305,24,Female,College,Bhopal,ChatGPT,1.9,Homework,No Change,High
306,18,Female,School,Thiruvananthapuram,ChatGPT,5.8,Research,Slight Decline,High
307,21,Female,University,Nagpur,Copilot,2.7,Learning,Improved,Medium
308,23,Female,College,Kolkata,Perplexity,3.7,Research,Improved,Medium
309,16,Male,College,Jaipur,ChatGPT,3.9,Research,Improved,Low
310,24,Female,School,Noida,ChatGPT,1.9,Learning,No Change,Medium
311,16,Male,School,Guwahati,Claude,3.9,Research,No Change,Medium
312,16,Male,College,Ludhiana,Grammarly,4.5,Coding,Slight Decline,High
313,22,Male,College,Bhubaneswar,Notion AI,2.3,Research,No Change,Medium
314,16,Female,College,Coimbatore,Gemini,3.0,Learning,Slight Decline,Medium
315,25,Female,University,Noida,Copilot,3.2,Writing,No Change,High
316,24,Female,College,Gurugram,Claude,6.1,Writing,No Change,Medium
317,16,Female,School,Vijayawada,ChatGPT,4.0,Writing,No Change,Low
318,18,Male,School,Kolkata,Claude,6.2,Writing,Slight Decline,Low
319,22,Male,College,Thiruvananthapuram,Notion AI,3.8,Writing,Improved,Medium
320,22,Male,School,Hyderabad,Gemini,3.5,Writing,Slight Decline,Medium
321,17,Male,College,Guwahati,Notion AI,0.5,Writing,Improved,Medium
322,16,Female,College,Bhubaneswar,ChatGPT,3.4,Writing,Improved,High
323,24,Female,University,Ahmedabad,Grammarly,6.1,Homework,No Change,Low
324,16,Female,School,Bhubaneswar,Gemini,1.7,Homework,Improved,Medium
325,16,Male,University,Guwahati,ChatGPT,0.8,Coding,No Change,High
326,21,Male,College,Coimbatore,Copilot,2.9,Coding,Slight Decline,Medium
327,24,Male,College,Mumbai,Grammarly,2.7,Research,No Change,Medium
328,20,Male,College,Guwahati,Copilot,5.6,Homework,No Change,Medium
329,21,Male,School,Bengaluru,Notion AI,0.7,Coding,Improved,Low
330,23,Male,School,Noida,Copilot,6.0,Homework,Improved,Medium
331,20,Female,College,Chennai,Gemini,4.6,Coding,No Change,Medium
332,24,Male,College,Kolkata,Notion AI,5.9,Writing,Slight Decline,High
333,18,Male,School,Patna,Notion AI,4.1,Learning,Improved,Low
334,21,Male,University,Bhubaneswar,Perplexity,5.4,Coding,Improved,High
335,23,Female,University,Bhopal,Copilot,2.5,Learning,Slight Decline,High
336,19,Male,University,Thiruvananthapuram,Copilot,2.6,Learning,No Change,High
337,15,Female,College,Bhopal,Copilot,2.8,Research,Improved,Medium
338,15,Female,University,Jaipur,Gemini,5.0,Learning,No Change,Low
339,16,Female,College,Jaipur,Notion AI,2.7,Homework,Slight Decline,High
340,20,Male,University,Nagpur,Claude,2.0,Learning,Slight Decline,High
341,22,Male,University,Bhopal,ChatGPT,6.1,Learning,Slight Decline,Medium
342,22,Female,School,Mysuru,Grammarly,5.9,Writing,Slight Decline,Medium
343,17,Female,College,Jaipur,Notion AI,2.6,Learning,No Change,High
344,17,Male,College,Bhopal,Notion AI,4.3,Writing,Improved,Medium
345,23,Male,School,Ludhiana,Grammarly,2.1,Research,Slight Decline,Low
346,16,Male,University,Mumbai,Perplexity,1.7,Coding,Slight Decline,Low
347,21,Female,University,Mumbai,Claude,2.5,Research,Improved,Medium
348,23,Female,School,Gurugram,Notion AI,2.5,Learning,No Change,Low
349,21,Male,College,Mysuru,ChatGPT,5.8,Coding,No Change,Low
350,24,Male,School,Jaipur,Notion AI,5.4,Homework,Slight Decline,High
351,21,Male,University,Patna,Notion AI,4.8,Research,Slight Decline,Low
352,21,Male,University,Noida,Notion AI,6.3,Writing,Improved,High
353,21,Male,School,Ludhiana,Copilot,3.0,Coding,No Change,Low
354,24,Female,College,Bhopal,Copilot,2.0,Learning,Slight Decline,Medium
355,18,Male,University,Delhi,ChatGPT,1.2,Learning,No Change,Low
356,15,Female,University,Thiruvananthapuram,Grammarly,2.3,Learning,Improved,High
357,15,Male,School,Noida,Perplexity,1.4,Learning,Improved,High
358,25,Male,School,Nagpur,Gemini,1.1,Homework,No Change,Low
359,18,Male,University,Lucknow,Perplexity,4.1,Research,Improved,Low
360,18,Female,University,Chandigarh,Perplexity,2.7,Writing,Slight Decline,Medium
361,15,Male,College,Mumbai,Notion AI,3.9,Learning,No Change,Medium
362,22,Male,University,Indore,ChatGPT,1.6,Writing,No Change,High
363,20,Female,School,Gurugram,Notion AI,4.6,Writing,No Change,High
364,23,Male,College,Ludhiana,Gemini,1.8,Learning,Improved,High
365,17,Male,University,Mysuru,Notion AI,2.2,Coding,Slight Decline,High
366,19,Female,School,Bengaluru,Claude,5.0,Research,No Change,Low
367,18,Female,College,Gurugram,Notion AI,3.9,Learning,Improved,High
368,16,Female,College,Chandigarh,Gemini,2.5,Coding,Slight Decline,Low
369,16,Female,School,Chandigarh,Gemini,3.8,Homework,No Change,Medium
370,16,Female,School,Delhi,ChatGPT,4.7,Learning,Improved,Medium
371,15,Female,School,Nagpur,Claude,6.0,Learning,Improved,High
372,24,Female,School,Patna,Perplexity,4.0,Homework,Slight Decline,High
373,21,Male,School,Nagpur,Copilot,1.9,Learning,No Change,High
374,19,Male,School,Mumbai,ChatGPT,5.0,Learning,Improved,Low
375,16,Male,School,Delhi,Perplexity,5.2,Learning,Slight Decline,Low
376,21,Male,University,Noida,Gemini,1.7,Homework,No Change,High
377,15,Male,School,Hyderabad,Copilot,5.4,Research,Slight Decline,Medium
